Symbol,Tick,Company
FCONSUMER,FCON IS,FUTURE CONSUMER LTD
FEL,FEL IS,FUTURE ENTERPRISES LTD
FMNL,FMNL IS,FUTURE MARKET NETWORKS LTD
FRETAIL,FRETAIL IS,FUTURE RETAIL LTD
GABRIEL,GABR IS,GABRIEL INDIA LTD
GALAXYSURF,GALSURF IS,GALAXY SURFACTANTS LTD
GALLISPAT,GALLIS IS,GALLANTT ISPAT LTD
GALLANTT,GALL IS,GALLANTT METAL LTD
GANDHITUBE,GNDI IS,GANDHI SPECIAL TUBES LTD
GANECOS,GNPL IS,GANESHA ECOSPHERE LTD
GANGESSECU,GANGES IS,GANGES SECURITIES LTD
GANGOTRI,GNTX IS,GANGOTRI TEXTILES LTD
GARDENSILK,GRDN IS,GARDEN SILK MILLS LTD
GARFIBRES,GTFL IS,GARWARE TECHNICAL FIBRES LTD
GDL,GDPL IS,GATEWAY DISTRIPARKS LTD
GATI,GTIC IS,GATI LTD
GAYAHWS,GAYAHWS IS,GAYATRI HIGHWAYS LTD
GAYAPROJ,GAYP IS,GAYATRI PROJECTS LTD
GEPIL,GEPIL IS,GE POWER INDIA LTD
GET&D,GETD IS,GE T&D INDIA LTD
GEECEE,GCVL IS,GEECEE VENTURES LTD
GHCL,GHCL IS,GHCL LTD
GISOLUTION,GIEN IS,GI ENGINEERING SOLUTIONS LTD
GICHSGFIN,GICHF IS,GIC HOUSING FINANCE LTD
GILLETTE,GILL IS,GILLETTE INDIA LTD
GINNIFILA,GINI IS,GINNI FILAMENTS LTD
GKWLIMITED,GKW IS,GKW LTD
GLENMARK,GNP IS,GLENMARK PHARMACEUTICALS LTD
GLOBOFFS,GWOS IS,GLOBAL OFFSHORE SERVICES LTD
GLOBALVECT,GVH IS,GLOBAL VECTRA HELICORP LTD
GLOBUSSPR,GBSL IS,GLOBUS SPIRITS LTD
GMBREW,GMBR IS,GM BREWERIES LTD
GMMPFAUDLR,GMM IS,GMM PFAUDLER LTD
GMRINFRA,GMRI IS,GMR INFRASTRUCTURE LTD
GNA,GNA IS,GNA AXLES LTD
GOACARBON,GOCA IS,GOA CARBON LTD
GPIL,GODPI IS,GODAWARI POWER AND ISPAT LTD
GODFRYPHLP,GP IS,GODFREY PHILLIPS INDIA LTD
GODREJAGRO,GOAGRO IS,GODREJ AGROVET LTD
GODREJCP,GCPL IS,GODREJ CONSUMER PRODUCTS LTD
GODREJIND,GDSP IS,GODREJ INDUSTRIES LTD
GODREJPROP,GPL IS,GODREJ PROPERTIES LTD
GOKEX,GEXP IS,GOKALDAS EXPORTS LTD
GOKULAGRO,GOKUL IS,GOKUL AGRO RESOURCES LTD
GOLDENTOBC,GTO IS,GOLDEN TOBACCO LTD
GOLDIAM,GLDM IS,GOLDIAM INTERNATIONAL LTD
GOLDTECH,GSE IS,GOLDSTONE TECHNOLOGIES LTD
GOODLUCK,GLIN IS,GOODLUCK INDIA LTD
GULFPETRO,GPPE IS,GP PETROLEUMS LTD
GRANULES,GRAN IS,GRANULES INDIA LTD
GRAPHITE,GRIL IS,GRAPHITE INDIA LTD
GRASIM,GRASIM IS,GRASIM INDUSTRIES LTD
GRAVITA,GRAV IS,GRAVITA INDIA LTD
GREAVESCOT,GRV IS,GREAVES COTTON LTD
GREENLAM,GRLM IS,GREENLAM INDUSTRIES LTD
GREENPLY,MTLM IS,GREENPLY INDUSTRIES LTD
GRINDWELL,GWN IS,GRINDWELL NORTON LTD
GRPLTD,GRP IS,GRP LTD
GRUH,GRHF IS,GRUH FINANCE LTD
GSS,GSSI IS,GSS INFOTECH LTD
GTLINFRA,GTLI IS,GTL INFRASTRUCTURE LTD
GTL,GTS IS,GTL LTD
GTNIND,GTN IS,GTN INDUSTRIES LTD
GTNTEX,GTNT IS,GTN TEXTILES LTD
GTPL,GTPL IS,GTPL HATHWAY LTD
GUFICBIO,CF IS,GUFIC BIOSCIENCES LTD
GAEL,GAEX IS,GUJARAT AMBUJA EXPORTS LTD
GUJFLUORO,GFLC IS,GUJARAT FLUOROCHEMICALS LTD
GUJGASLTD,GUJGA IS,GUJARAT GAS LTD
GLFL,GLF IS,GUJARAT LEASE FINANCING LTD
